epoch,train_nll,valid_nll,test_nll,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_auc,valid_auc,test_auc,train_auprc,valid_auprc,test_auprc,train_mse_oob,valid_mse_oob,test_mse_oob
22,0.0018300834249160472,0.0032195292058841687,0.0032195292058841687,3.927638416104242e-05,6.29663750144243e-05,6.29663750144243e-05,0.0004951893585535941,0.0008869158134544967,0.0008869158134544967,,,,,,,0.5148550756995681,0.21686591912201567,0.21686591912201567
23,0.00129818503397725,0.0020540038927386235,0.0020540038927386235,3.258269630732691e-05,5.6455512882068915e-05,5.6455512882068915e-05,0.00045122772196966684,0.0008398096236540954,0.0008398096236540954,,,,,,,0.4368789795681584,0.19358812195383426,0.19358812195383426
24,0.0006736262908698323,0.0010488974106506426,0.0010488974106506426,2.8294854469338496e-05,5.044183349796413e-05,5.044183349796413e-05,0.00042047555151189053,0.0007934820913179427,0.0007934820913179427,,,,,,,0.36435465421766655,0.15582401173525856,0.15582401173525856
25,0.0013421354233768637,0.004947621897333822,0.004947621897333822,2.7199296076272635e-05,6.0372236461783867e-05,6.0372236461783867e-05,0.0004113219986805831,0.0008685069534586362,0.0008685069534586362,,,,,,,0.30390975683792065,0.11594780647034302,0.11594780647034302
26,0.0007629198061596165,-0.0003914271971841757,-0.0003914271971841757,2.2278692160375282e-05,2.5155995012115228e-05,2.5155995012115228e-05,0.00037152182952050836,0.0005595217731066493,0.0005595217731066493,,,,,,,0.2700757302316471,0.15725225179022495,0.15725225179022495
27,-0.00021906048390740642,-0.0010394524079138496,-0.0010394524079138496,1.3218775467203864e-05,1.6338208338556827e-05,1.6338208338556827e-05,0.0002873474415819828,0.0004503340653942545,0.0004503340653942545,,,,,,,0.2630454734437322,0.1384183814629809,0.1384183814629809
28,-0.0007795763689823659,-0.0025667101791012814,-0.0025667101791012814,8.352048139112678e-06,9.771562943353466e-06,9.771562943353466e-06,0.00022840452755086004,0.00034466644173321694,0.00034466644173321694,,,,,,,0.2867180862541305,0.1703099845622072,0.1703099845622072
29,-0.0015965633781715443,0.023327933942504552,0.023327933942504552,5.162410748091962e-06,9.377510165521947e-05,9.377510165521947e-05,0.000176543214957295,0.0010824550769454582,0.0010824550769454582,,,,,,,0.3044940810949403,0.17411923418550257,0.17411923418550257
30,0.02559471075891484,0.018548277492157726,0.018548277492157726,0.0001329288012325363,0.0004561397632743895,0.0004561397632743895,0.0008352198167776677,0.0023877649300634773,0.0023877649300634773,,,,,,,0.3351131588597981,0.16060660227841636,0.16060660227841636
31,0.004064650270683619,0.0037708107660077276,0.0037708107660077276,0.00014624867789200167,0.00017053889713813573,0.00017053889713813573,0.0009326269587176481,0.001460036445832765,0.001460036445832765,,,,,,,0.3001862683977672,0.16738494654408967,0.16738494654408967
32,0.002405785969822108,0.006762110447737205,0.006762110447737205,0.00026968897342249416,0.00126674824623499,0.00126674824623499,0.0012426660187926264,0.003979202269533372,0.003979202269533372,,,,,,,0.33049701155920175,0.22546045278788057,0.22546045278788057
33,0.0032991854006944087,0.006492657189453718,0.006492657189453718,0.000804405115520891,0.001800703498347563,0.001800703498347563,0.0022377468127235058,0.004744308037395827,0.004744308037395827,,,,,,,0.37398520043155636,0.21103860680798192,0.21103860680798192
