epoch,train_nll,valid_nll,test_nll,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_auc,valid_auc,test_auc,train_auprc,valid_auprc,test_auprc,train_mse_oob,valid_mse_oob,test_mse_oob
0,0.00349714173048025,0.006221415017177952,0.006221415017177952,0.002531371214526196,0.0054902440795348475,0.0054902440795348475,0.0034093715277134324,0.008284196775977866,0.008284196775977866,,,,,,,1.470700716276528,0.14372215743221445,0.14372215743221445
1,0.002358729157476445,0.0023421288162935395,0.0023421288162935395,0.0018485316975663916,0.0007754133472939569,0.0007754133472939569,0.0032369890821327637,0.003113288031199454,0.003113288031199454,,,,,,,0.8378359618552502,0.3183085283509784,0.3183085283509784
2,0.0009486131407173455,0.004501944188782032,0.004501944188782032,0.0008447501489879302,0.0014155058621836425,0.0014155058621836425,0.002254278190761987,0.0042063973491935774,0.0042063973491935774,,,,,,,0.7544737221149476,0.6337210358076995,0.6337210358076995
3,0.0004701262376180462,0.00024354831821212023,0.00024354831821212023,0.000483936823164706,0.0008059693080416143,0.0008059693080416143,0.0017046535085288484,0.0031739772183704386,0.0031739772183704386,,,,,,,0.9885328363601564,0.5159484257973571,0.5159484257973571
4,-0.0006562021281067121,-0.0037294858671676396,-0.0037294858671676396,0.0002928973164953156,0.0002539927168206447,0.0002539927168206447,0.0013457701107270246,0.0017817574941445188,0.0017817574941445188,,,,,,,0.855990956058792,0.37165873050416276,0.37165873050416276
5,-0.002143469413661675,-0.0063530231974595255,-0.0063530231974595255,0.00010048712418040146,7.347281258422204e-05,7.347281258422204e-05,0.0007745378414633721,0.00095770183448222,0.00095770183448222,,,,,,,0.8641470902150021,0.33051112822858203,0.33051112822858203
6,-0.003468271315935287,-0.0077379175270587755,-0.0077379175270587755,4.238738408255676e-05,7.486868103500307e-05,7.486868103500307e-05,0.0004992796938570448,0.0009656805237068927,0.0009656805237068927,,,,,,,0.6740498275927032,0.4487012470605555,0.4487012470605555
7,0.0013023616255427941,-0.0035919748344402655,-0.0035919748344402655,8.698884124477737e-05,0.000152875828112401,0.000152875828112401,0.0006891383717363104,0.0013820041401525433,0.0013820041401525433,,,,,,,0.7772165665905854,0.38668404721637817,0.38668404721637817
8,-0.003098960513107234,-0.005042564837326444,-0.005042564837326444,7.944463278823549e-05,0.00034117203588713684,0.00034117203588713684,0.0006634282177785749,0.002065050138100404,0.002065050138100404,,,,,,,0.7393340586384016,0.39961847023566544,0.39961847023566544
9,-0.0027574469803511325,-0.005942964167425335,-0.005942964167425335,0.00015072376191881202,0.00016865348600186275,0.00016865348600186275,0.0009668125102931093,0.0014517982444653189,0.0014517982444653189,,,,,,,0.7875229522395332,0.3769071620366189,0.3769071620366189
10,-0.002678769509488073,-0.004373031444010298,-0.004373031444010298,7.324535039062565e-05,0.0001545278632740549,0.0001545278632740549,0.000675194207180411,0.001389495201715418,0.001389495201715418,,,,,,,0.7666888981520186,0.3948758715116999,0.3948758715116999
11,-0.0022846648214299064,-0.004238823628320332,-0.004238823628320332,9.277832348005749e-05,0.0002466528567589876,0.0002466528567589876,0.0007589455070366959,0.0017557507491428308,0.0017557507491428308,,,,,,,0.799933895014146,0.3460164816854651,0.3460164816854651
